text,label,lang
Этот фильм был просто великолепен! Сюжет захватывающий и актерская игра на высоте.,положительный,ru
Мне не понравился фильм. Очень скучный и затянутый.,отрицательный,ru
"Фильм был нормальный, но ничего особенного.",нейтральный,ru
I absolutely loved this movie. It was fantastic and very emotional.,positive,en
The movie was terrible. Waste of time and money.,negative,en
"It was an average film. Not good, not bad, just okay.",neutral,en
Прекрасная режиссура и музыка. Однозначно рекомендую!,положительный,ru
Слишком предсказуемый сюжет. Смотреть было неинтересно.,отрицательный,ru
"Не могу сказать, что фильм плохой, но и восторга не вызвал.",нейтральный,ru
Great acting but the story was too slow for my taste.,neutral,en
Awful cinematography. Couldn’t enjoy a single moment.,negative,en
"The film is fine, but I expected more from it.",neutral,en
